summary,article,emotion_label,predicted_summary
rss chief mohan bhagwat calls mahatma gandhi âkattarâ hindu,"referring to one of mahatma gandhi's writings in the colonialera weekly publication 'harijan', rss chief mohan bhagwat said gandhi ji was a 'kattar' hardcore hindu. ""if hindus become more kattar, it actually means they will be more liberal,"" bhagwat added. stating that gandhi ji talked about ""consistent search for truth"", bhagwat asserted that that truth is hindutva.",disgust,mahatma gandhi ji wrote in colonialera weekly 'harijan'
"good muslims with bjp, killers with congress bjp leader","bjp karnataka leader ks eshwarappa on tuesday said good muslims support the bjp while the ""muslims who have killed 22 bjp and rss activists"" are with the congress. this comes while the bjp has been accusing the ruling congress in karnataka of encouraging political organisations like popular front of india to target sangh parivar activists.",neutral,good muslims support bjp karnataka leader ks eshwarappa
don't give media interviews hc in sexual harassment case,"in a sexual harassment case filed by a female journalist against senior employees of a web portal, the delhi high court ruled that the parties shouldn't give any media interviews. the ruling came based on a plea by the employees that the journalist violated an earlier order by describing the alleged incident on social media in wake of metoo movement.",fear,the delhi high court ruled that the parties shouldn't give any media interviews.
"baboons escape from research lab, staff chase them on foot","the staff of a primate research facility in united states' texas chased four baboons on foot after they escaped from their enclosure. while three baboons were caught by the facility's animal capture team within half an hour, the fourth one returned on its own. notably, the facility houses nearly 1,100 baboons.",fear,four baboons escaped from primate research facility in texas
vatican advises nuns to not overindulge in social media,"the vatican has issued guidelines advising cloistered nuns to not overindulge in social media and asked them to use facebook or twitter ""with discretion and sobriety"". the guidelines come after a group of nuns in spain published protests on facebook over acquittal of five men accused of gangrape of a teenager.",neutral,vatican advises cloistered nuns to not overindulge in social media
i am compelled to apologise for first time in 52yr career chandra,"essel group chairman subhash chandra said he's compelled to apologise to banks for first time in his 52year career for not living up to expectations. he urged them to be ""patient"" till his group completes stake sale in ""crown jewel"" zee entertainment to help repay dues. ""if lenders react in panic situation, it'll only hurt them and us,"" he added.",sadness,subhash chandra apologises to banks for not living up to expectations.
i place 2g verdict at your feet a raja writes to dmk chief,"after a cbi court acquitted former telecom minister a raja and all other accused in the 2g spectrum allocation scam case on thursday, a raja wrote a letter of gratitude to dmk chief karunanidhi. ""you are my saviour and i submit this historical verdict at your feet. you have always safeguarded and protected me through all these years,"" he wrote.",joy,raja wrote a letter of gratitude to dmk chief karunanidhi
amul dairy md quits amid allegations of â¹450crore fraud,"k rathnam has stepped down as the md of the kaira district cooperative milk producers' union, popularly known as amul dairy, amid allegations of â¹450crore corruption. it is one of the 18 milk unions that form the federation which markets milk products under the ""amul"" brand. however, the federation's chairman ramsinh parmar said rathnam quit because of family reasons.",sadness,k rathnam quits as md of milk producers' union amid allegations of corruption.
irfan asks his brother yusuf to hit 50 off 13 balls in ipl,"after kxip's lokesh rahul slammed the fastestever ipl 50 off 14 balls on sunday, indian allrounder irfan pathan took to twitter and asked his brother srh's yusuf pathan to try hitting a 13ball fifty. ""tere liye 13ball me bhi 50 bana neka try karenge insha allah bhai,"" yusuf tweeted. rahul had broken yusuf and sunil narine's 15ball jointrecord.",neutral,lokesh rahul slams fastestever ipl 50 off 14 balls.
firms asked to make mobile wallets interoperable in 6 months,"the rbi on wednesday directed financial companies to make their wallets interoperable through the unified payments interface upi within six months. interoperability will only be allowed for wallets which are compliant with know your customer kyc norms. with this, users will be able to transfer funds between mobile wallet of one company or a bank to another as per requirements.",neutral,rbi directed financial companies to make wallets interoperable within six months.
